age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
31,M,White,Jefferson County,ID,False,attack,Car,False,Letal,2015
32,M,White,Pottawatomie County,OK,False,attack,Car,False,Letal,2015
60,M,White,San Antonio,TX,False,attack,Car,False,Letal,2015
42,M,Black,Valdosta,GA,False,attack,Car,False,No Letal,2015
39,M,Hispanic,Los Angeles,CA,False,attack,Foot,False,Letal,2015
28,M,Asian,Sunnyvale,CA,True,other,Not fleeing,False,No Letal,2015
22,M,White,Navarre,FL,False,attack,Not fleeing,False,No Letal,2015
29,M,Black,Monon,IN,False,attack,Car,False,Letal,2015
31,M,White,Straban Township,PA,True,attack,Not fleeing,False,Letal,2015
28,M,White,Boiling Springs,SC,False,attack,Not fleeing,False,Letal,2015
21,M,Hispanic,Corning,CA,False,attack,Not fleeing,False,No Letal,2015
38,M,White,Topeka,KS,False,attack,Car,False,Letal,2015
66,M,White,Sand Springs,OK,True,attack,Not fleeing,True,Letal,2015
36,M,Black,Indianapolis,IN,False,attack,Foot,True,Letal,2015
83,M,White,Oklahoma City,OK,True,other,Not fleeing,False,No Letal,2015
32,M,White,Salemburg,NC,True,attack,Car,False,Letal,2015
27,M,Hispanic,Alton,IL,False,attack,Not fleeing,False,Letal,2015
26,M,Black,DeSoto,TX,False,undetermined,Foot,False,No Letal,2015
31,M,White,Jonesboro,AR,True,attack,Not fleeing,False,No Letal,2015
22,M,Black,Miami,FL,False,undetermined,Foot,False,Letal,2015
41,M,Black,Spartanburg,SC,False,attack,Not fleeing,False,No Letal,2015
41,M,Black,Houston,TX,False,other,Car,False,Unarmed,2015
51,M,White,Columbia,MO,False,attack,Car,True,No Letal,2015
72,M,White,Cañon City,CO,True,attack,Not fleeing,False,Letal,2015
52,M,Hispanic,Montclair,CA,True,attack,Not fleeing,False,No Letal,2015
47,M,Hispanic,Shafter,CA,False,other,Not fleeing,False,No Letal,2015
18,M,Black,Chicago,IL,False,attack,Foot,False,Letal,2015
29,M,Hispanic,Hemet,CA,False,attack,Not fleeing,False,Letal,2015
23,M,Black,Jennings,MO,True,other,Not fleeing,True,No Letal,2015
43,M,Hispanic,Phoenix,AZ,True,attack,Not fleeing,False,Letal,2015
45,M,White,Panama City,FL,False,attack,Not fleeing,False,Letal,2015
40,M,White,Wilmore,KY,True,attack,Not fleeing,False,Letal,2015
44,M,White,Sidney,NE,False,attack,Not fleeing,False,No Letal,2015
25,M,Hispanic,Mission,TX,False,other,Not fleeing,False,Letal,2015
37,M,Native,Lakewood,WA,True,other,Foot,False,Unarmed,2015
59,M,White,Irmo,SC,True,other,Not fleeing,False,No Letal,2015
35,M,Hispanic,Los Angeles,CA,True,other,Not fleeing,False,No Letal,2015
35,M,Black,Trenton,NJ,False,attack,Not fleeing,False,No Letal,2015
18,M,Black,Portsmouth,VA,False,undetermined,Not fleeing,False,Unarmed,2015
51,M,Hispanic,Bisbee,AZ,False,other,Not fleeing,False,No Letal,2015
30,M,White,Queens,NY,True,attack,Foot,False,Letal,2015
31,M,Black,Fort Worth,TX,False,attack,Foot,False,Letal,2015
39,M,Asian,Eldorado Springs,CO,False,attack,Not fleeing,False,Letal,2015
26,M,White,Sylmar,CA,True,attack,Not fleeing,False,Letal,2015
51,M,White,Rufe,OK,False,attack,Not fleeing,False,Letal,2015
19,M,Hispanic,Long Beach,CA,False,other,Not fleeing,False,Unarmed,2015
46,F,White,Windsor,CA,False,attack,Car,False,No Letal,2015
49,M,White,Eugene,OR,False,attack,Not fleeing,False,Letal,2015
63,M,White,Miami,OK,False,attack,Car,False,Letal,2015
20,M,Black,Trinidad,CO,False,attack,Foot,True,Letal,2015
25,M,White,Victoria,TX,True,other,Not fleeing,True,No Letal,2015
24,M,Black,New York,NY,True,attack,Foot,False,Unarmed,2015
58,M,White,Clermont,FL,True,other,Not fleeing,False,No Letal,2015
29,M,White,Bunch,OK,False,attack,Not fleeing,False,Unarmed,2015
76,M,White,Kings County,CA,False,attack,Not fleeing,False,Letal,2015
45,M,White,Fountain Valley,CA,False,attack,Not fleeing,False,Letal,2015
20,M,Black,Detroit,MI,False,other,Not fleeing,False,No Letal,2015
58,M,White,Mansfield,OH,False,attack,Not fleeing,False,Letal,2015
21,M,Black,New Orleans,LA,False,attack,Not fleeing,True,Letal,2015
27,M,White,Marion,IL,True,attack,Not fleeing,False,Letal,2015
26,M,White,Chickasha,OK,False,other,Foot,False,No Letal,2015
33,M,Hispanic,Mesa,AZ,True,attack,Not fleeing,False,Letal,2015
27,M,Hispanic,Elk Grove,CA,False,attack,Not fleeing,False,Letal,2015
25,F,Black,Atlanta,GA,False,attack,Not fleeing,False,Letal,2015
53,M,Black,Emporia,VA,True,attack,Not fleeing,False,Letal,2015
53,M,White,Nashville,TN,True,attack,Not fleeing,False,Letal,2015
42,M,Other,San Diego,CA,True,other,Not fleeing,True,Unarmed,2015
22,M,Hispanic,El Paso,TX,False,other,Not fleeing,False,No Letal,2015
52,M,White,Smyrna,DE,False,attack,Not fleeing,True,Letal,2015
36,M,White,Roosevelt,UT,True,attack,Not fleeing,True,Letal,2015
30,M,Black,Garland,TX,False,attack,Not fleeing,False,Letal,2015
34,M,Other,Garland,TX,False,attack,Not fleeing,False,Letal,2015
44,M,Hispanic,Albuquerque,NM,False,attack,Not fleeing,False,Letal,2015
53,M,White,Chavies,KY,False,attack,Not fleeing,False,Letal,2015
36,M,White,Kennewick,WA,True,attack,Not fleeing,False,No Letal,2015
29,M,Black,Venice,CA,False,attack,Not fleeing,True,Unarmed,2015
32,M,Asian,South El Monte,CA,False,attack,Not fleeing,False,No Letal,2015
46,M,White,Pulaski,VA,True,attack,Not fleeing,False,Letal,2015
